"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,-2.45101509378484,4.00196749091141
2001-01-02 12:00:00,2001,1,2,NA,-2.33029765908307,4.28379811986657
2001-01-03 12:00:00,2001,1,3,NA,-3.79615021607574,2.15212355036901
2001-01-04 12:00:00,2001,1,4,NA,-0.876021566376845,5.83149898558427
2001-01-05 12:00:00,2001,1,5,NA,2.56940692812713,7.42206631293204
2001-01-06 12:00:00,2001,1,6,NA,0.788753042393748,6.05243713246391
2001-01-07 12:00:00,2001,1,7,NA,3.35452483842032,6.37252452607027
2001-01-08 12:00:00,2001,1,8,NA,1.02440276728721,6.44053738255285
2001-01-09 12:00:00,2001,1,9,NA,-0.357083114567963,3.63234298478242
2001-01-10 12:00:00,2001,1,10,NA,2.43028341967225,4.38861077453926
2001-01-11 12:00:00,2001,1,11,NA,1.54166014631639,3.56467453032568
2001-01-12 12:00:00,2001,1,12,NA,2.84375745048071,9.13757621815418
2001-01-13 12:00:00,2001,1,13,NA,4.48995540632583,12.6156079979733
2001-01-14 12:00:00,2001,1,14,NA,0.186237142073161,1.14340668892383
2001-01-15 12:00:00,2001,1,15,NA,0.915340931208981,1.06184064884917
2001-01-16 12:00:00,2001,1,16,NA,-1.90519200526186,-0.425729283222527
2001-01-17 12:00:00,2001,1,17,NA,-2.66236831002281,-0.513966779091988
2001-01-18 12:00:00,2001,1,18,NA,-10.3173248262332,-9.47074309360963
2001-01-19 12:00:00,2001,1,19,NA,-10.2720882710888,-6.65009803168447
2001-01-20 12:00:00,2001,1,20,NA,-15.9685746491075,-10.9972235507471
2001-01-21 12:00:00,2001,1,21,NA,-20.8041490444905,-12.3355513273293
2001-01-22 12:00:00,2001,1,22,NA,-16.327055631276,-7.57978395621825
2001-01-23 12:00:00,2001,1,23,NA,-11.4685013082458,-5.31213820709727
2001-01-24 12:00:00,2001,1,24,NA,-8.89936221170302,-4.47839211320158
2001-01-25 12:00:00,2001,1,25,NA,-11.750147052324,-6.47691820117854
2001-01-26 12:00:00,2001,1,26,NA,-6.76087397709028,-0.106035129414354
2001-01-27 12:00:00,2001,1,27,NA,-7.4775608245612,0.340356578766989
2001-01-28 12:00:00,2001,1,28,NA,-3.15606530597693,1.28778525588919
2001-01-29 12:00:00,2001,1,29,NA,-0.263844461342413,1.62010810540115
2001-01-30 12:00:00,2001,1,30,NA,-1.96702873156706,5.26252408446339
2001-01-31 12:00:00,2001,1,31,NA,-2.55594365294177,7.77987875864418
2001-02-01 12:00:00,2001,2,1,NA,2.02961480950864,10.7574235053659
2001-02-02 12:00:00,2001,2,2,NA,5.98377603464621,12.479091911119
2001-02-03 12:00:00,2001,2,3,NA,4.1589399329003,11.3127518919274
2001-02-04 12:00:00,2001,2,4,NA,5.2038107972394,6.18959131952699
2001-02-05 12:00:00,2001,2,5,NA,0.845339812696275,1.82423110800562
2001-02-06 12:00:00,2001,2,6,NA,0.101461887756621,2.65169458841113
2001-02-07 12:00:00,2001,2,7,NA,-4.15935284017609,-0.0170679998988028
2001-02-08 12:00:00,2001,2,8,NA,-4.44153624157203,0.803043505209279
2001-02-09 12:00:00,2001,2,9,NA,1.45415781262595,8.36351511323091
2001-02-10 12:00:00,2001,2,10,NA,0.552150688521285,7.23498090543884
2001-02-11 12:00:00,2001,2,11,NA,-3.50521916452928,-1.84493826273101
2001-02-12 12:00:00,2001,2,12,NA,-8.25649030409702,-5.62408751881892
2001-02-13 12:00:00,2001,2,13,NA,-6.96530962918587,-5.88244347577
2001-02-14 12:00:00,2001,2,14,NA,-5.80083744264931,-4.86303325635057
2001-02-15 12:00:00,2001,2,15,NA,-7.7843139280213,-6.8898802976239
2001-02-16 12:00:00,2001,2,16,NA,-4.55023138328843,-3.2917592381221
2001-02-17 12:00:00,2001,2,17,NA,-12.1688597005148,-10.6220353312304
2001-02-18 12:00:00,2001,2,18,NA,-9.16319591135382,-0.339519894791136
2001-02-19 12:00:00,2001,2,19,NA,-11.5036137340804,-5.21782099365985
2001-02-20 12:00:00,2001,2,20,NA,-4.7488091882784,-2.87145823230795
2001-02-21 12:00:00,2001,2,21,NA,-6.36944423637373,-0.910227965570868
2001-02-22 12:00:00,2001,2,22,NA,-6.59196875904384,0.0406880100198834
2001-02-23 12:00:00,2001,2,23,NA,-3.37039231202876,1.30694645573459
2001-02-24 12:00:00,2001,2,24,NA,-1.10939707900998,1.28876477679473
2001-02-25 12:00:00,2001,2,25,NA,-1.25562342187149,2.44939435770754
2001-02-26 12:00:00,2001,2,26,NA,0.396581030255845,3.64536701268044
2001-02-27 12:00:00,2001,2,27,NA,-1.65225057784774,4.09694234717682
2001-02-28 12:00:00,2001,2,28,NA,-12.8026495392118,-10.0862672544082
2001-03-01 12:00:00,2001,3,1,NA,-10.833347306339,-8.38743639818701
2001-03-02 12:00:00,2001,3,2,NA,-17.2977503774669,-13.7624257146386
2001-03-03 12:00:00,2001,3,3,NA,-6.95865818981585,-1.44663637772277
2001-03-04 12:00:00,2001,3,4,NA,-5.47204238164614,-0.596327382804928
2001-03-05 12:00:00,2001,3,5,NA,-10.4965655124753,-3.60012540878098
2001-03-06 12:00:00,2001,3,6,NA,-2.77389998399999,0.791316750124793
