"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,-0.0661662043602234,5.84673158518688
2001-01-02 12:00:00,2001,1,2,NA,-0.00450945285407833,6.06279778032286
2001-01-03 12:00:00,2001,1,3,NA,-1.84168839527519,3.71684450440199
2001-01-04 12:00:00,2001,1,4,NA,1.03190099222783,7.31624610629201
2001-01-05 12:00:00,2001,1,5,NA,4.36937806453232,8.88846819074805
2001-01-06 12:00:00,2001,1,6,NA,2.54217344794791,7.44001645292503
2001-01-07 12:00:00,2001,1,7,NA,4.96866476146016,7.77564136418046
2001-01-08 12:00:00,2001,1,8,NA,2.6503536916126,7.71043752430831
2001-01-09 12:00:00,2001,1,9,NA,1.17064665058904,4.88210280688851
2001-01-10 12:00:00,2001,1,10,NA,3.82587176871055,5.65590169665313
2001-01-11 12:00:00,2001,1,11,NA,2.88677262850469,4.77228911234083
2001-01-12 12:00:00,2001,1,12,NA,4.27374021235021,10.155333369157
2001-01-13 12:00:00,2001,1,13,NA,5.94364026123026,13.510547906683
2001-01-14 12:00:00,2001,1,14,NA,1.34796461368525,2.23776778019607
2001-01-15 12:00:00,2001,1,15,NA,2.00547146140536,2.14254384877606
2001-01-16 12:00:00,2001,1,16,NA,-0.817780993407827,0.580087373581205
2001-01-17 12:00:00,2001,1,17,NA,-1.58277472025323,0.429517977980297
2001-01-18 12:00:00,2001,1,18,NA,-9.30950499778014,-8.51842233299171
2001-01-19 12:00:00,2001,1,19,NA,-9.19631995014294,-5.82169713288963
2001-01-20 12:00:00,2001,1,20,NA,-14.8751251941293,-10.2357539424788
2001-01-21 12:00:00,2001,1,21,NA,-19.6135085166947,-11.7140469111416
2001-01-22 12:00:00,2001,1,22,NA,-15.1372821192594,-6.99395578188726
2001-01-23 12:00:00,2001,1,23,NA,-10.3847883493907,-4.6508070512183
2001-01-24 12:00:00,2001,1,24,NA,-7.88739431711239,-3.77013295425387
2001-01-25 12:00:00,2001,1,25,NA,-10.7340659285157,-5.79209399783086
2001-01-26 12:00:00,2001,1,26,NA,-5.69546044071657,0.515385094194255
2001-01-27 12:00:00,2001,1,27,NA,-6.36759689023231,0.908159820851026
2001-01-28 12:00:00,2001,1,28,NA,-2.16505853728145,1.97023888803695
2001-01-29 12:00:00,2001,1,29,NA,0.631760971706633,2.39817093002082
2001-01-30 12:00:00,2001,1,30,NA,-0.892624222388094,5.86626514656926
2001-01-31 12:00:00,2001,1,31,NA,-1.37036149003107,8.28094376182052
2001-02-01 12:00:00,2001,2,1,NA,3.17588676381425,11.3100794175311
2001-02-02 12:00:00,2001,2,2,NA,7.06159144177506,13.1160190008218
2001-02-03 12:00:00,2001,2,3,NA,5.14743795814763,11.9569584025742
